SectionName,BedNum,lith,lithName,thickness,BedID,Note,PictureName,base,top
chance1.csv,1,2,other,25,a1,,chance1.csv_1,0,0.25
chance1.csv,2,0,mud,58,,,,0.25,0.83
chance1.csv,3,2,other,39,a2,,chance1.csv_3,0.83,1.22
chance1.csv,4,0,mud,17,,,,1.22,1.39
chance1.csv,5,1,sand,4,,,,1.39,1.43
chance1.csv,6,0,mud,12,,,,1.43,1.55
chance1.csv,7,1,sand,5,,,,1.55,1.6
chance1.csv,8,0,mud,32,,,,1.6,1.92
chance1.csv,9,1,sand,10,a3,,chance1.csv_9,1.92,2.02
chance1.csv,10,0,mud,14,,,,2.02,2.16
chance1.csv,11,1,sand,4,,,,2.16,2.2
chance1.csv,12,0,mud,16,,,,2.2,2.36
chance1.csv,13,1,sand,3,,,,2.36,2.39
chance1.csv,14,0,mud,4,,,,2.39,2.43
chance1.csv,15,1,sand,4,,,,2.43,2.47
chance1.csv,16,0,mud,12,,,,2.47,2.59
chance1.csv,17,1,sand,4,,,,2.59,2.63
chance1.csv,18,0,mud,31,,,,2.63,2.94
chance1.csv,19,1,sand,3,,,,2.94,2.97
chance1.csv,20,0,mud,12,,,,2.97,3.09
chance1.csv,21,1,sand,9,,,,3.09,3.18
chance1.csv,22,0,mud,46,,,,3.18,3.64
chance1.csv,23,2,other,40,a6,,chance1.csv_23,3.64,4.04
chance1.csv,24,0,mud,252,,,,4.04,6.56
chance1.csv,25,1,sand,3,,,,6.56,6.59
chance1.csv,26,0,mud,8,,,,6.59,6.67
chance1.csv,27,1,sand,2,,,,6.67,6.69
chance1.csv,28,0,mud,27,,,,6.69,6.96
chance1.csv,29,1,sand,2,,,,6.96,6.98
chance1.csv,30,0,mud,9,,,,6.98,7.07
chance1.csv,31,1,sand,6,,,,7.07,7.13
chance1.csv,32,0,mud,102,,,,7.13,8.15
chance1.csv,33,1,sand,19,a7,,chance1.csv_33,8.15,8.34
chance1.csv,34,0,mud,14,,,,8.34,8.48
chance1.csv,35,0,mud,58,,,,8.48,9.06
chance1.csv,36,1,sand,6,,,chance1.csv_36,9.06,9.12
chance1.csv,37,0,mud,18,,,,9.12,9.3
chance1.csv,38,1,sand,4,,,,9.3,9.34
chance1.csv,39,0,mud,47,,,,9.34,9.81
chance1.csv,40,2,other,5,a8,,chance1.csv_40,9.81,9.86
chance1.csv,41,0,mud,111,,,,9.86,10.97
chance1.csv,42,1,sand,14,b1,,chance1.csv_42,10.97,11.11
chance1.csv,43,0,mud,5,,,,11.11,11.16
chance1.csv,44,1,sand,13,b2,,,11.16,11.29
chance1.csv,45,0,mud,5,,,,11.29,11.34
chance1.csv,46,1,sand,17,b3,,,11.34,11.51
chance1.csv,47,0,mud,3,,,,11.51,11.54
chance1.csv,48,1,sand,13,b4,,,11.54,11.67
chance1.csv,49,0,mud,50,,,,11.67,12.17
chance1.csv,50,1,sand,11,b5,,,12.17,12.28
chance1.csv,51,0,mud,106,,,,12.28,13.34
chance1.csv,52,1,sand,32,,,,13.34,13.66
chance1.csv,53,0,mud,11,,,,13.66,13.77
chance1.csv,54,1,sand,20,,,,13.77,13.97
chance1.csv,55,0,mud,16,,,,13.97,14.13
chance1.csv,56,1,sand,11,,,,14.13,14.24
chance1.csv,57,0,mud,83,,,,14.24,15.07
chance1.csv,58,1,sand,9,,,,15.07,15.16
chance1.csv,59,0,mud,6,,,,15.16,15.22
chance1.csv,60,1,sand,15,,,,15.22,15.37
chance1.csv,61,0,mud,16,,,,15.37,15.53
chance1.csv,62,1,sand,11,,,,15.53,15.64
chance1.csv,63,0,mud,5,,,,15.64,15.69
chance1.csv,64,1,sand,30,b12,,,15.69,15.99
chance1.csv,65,0,mud,34,,,,15.99,16.33
chance1.csv,66,1,sand,13,b13,,,16.33,16.46
chance1.csv,67,0,mud,8,,,,16.46,16.54
chance1.csv,68,1,sand,13,,,,16.54,16.67
